title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend,lifecycle_stage,is_simulated,core_fan_ratio,sentiment_score,sentiment_intensity,growth_potential,conversion_difficulty,IP_Score
雪中悍刀行,烽火戏诸侯,玄幻奇幻,,完结,Zongheng,4615353,122877655,10739808,59,15230,56,Maturity,0,0.000123944421596063,0.5,0.0,5.2142454302492715e-06,0.5,8.663995513698659
祭炼山河,食堂包子,玄幻奇幻,,完结,Zongheng,6898752,411543996,33736783,68,589,0,Maturity,0,1.4311957027525297e-06,0.5,0.0,0.0,0.5,17.953879007658102
星辰之主,减肥专家,科幻,,连载,Zongheng,7896999,16788565,3523637,771,3135,3011,Maturity,0,0.00018673423328710744,0.5,0.0,0.0008545145670468987,0.5,1.867391521842952
逆天邪神,火星引力,玄幻奇幻,,连载,Zongheng,7866492,339909624,3866724,3444,71218,7320,Maturity,0,0.00020952039825291796,0.5,0.0,0.0018930748889564165,0.5,25.859299969589888
最强狂兵,烈焰滔滔,都市,,完结,Zongheng,16822970,207730033,2622758,1357,13313,68,Maturity,0,6.408798835511671e-05,0.5,0.0,2.592689606631795e-05,0.2,9.380937875918741
踏天争仙,三生万物,玄幻奇幻,,完结,Zongheng,8007941,2525363,149037,72,78,2,Maturity,0,3.0886636540316566e-05,0.5,0.0,1.3419396395550129e-05,0.5,0.12404969209383948
天刑纪,曳光,武侠仙侠,,完结,Zongheng,4984428,2085596,187649,84,331,0,Maturity,0,0.00015870755471934415,0.5,0.0,0.0,0.5,0.17328718266032775
黑暗圣光,橙色装备,N次元,,完结,Zongheng,1128920,681552,13611,406,180,0,Maturity,0,0.0002641027183505905,0.5,0.0,0.0,0.5,0.10865097694535293
一世独尊,月如火,玄幻奇幻,,完结,Zongheng,7830380,28780505,243050,216,4467,8,Maturity,0,0.0001552092239101008,0.5,0.0,3.291490263360365e-05,0.5,1.8352302985667388
一剑倾国,一介白衣,武侠仙侠,,完结,Zongheng,4822439,696979,43265,65,210,0,Maturity,0,0.00030129989382765646,0.5,0.0,0.0,0.5,0.079834335242029
天降鬼才,武异,玄幻奇幻,,连载,Zongheng,12504929,1546109,107287,59,319,15,Maturity,0,0.00020632425894664676,0.5,0.0,0.00013981060323614943,0.5,0.13789799435982453
剑来,烽火戏诸侯,武侠仙侠,,连载,Zongheng,13059580,353685411,18733387,16591,158296,4038,Maturity,0,0.0004475615748607692,0.5,0.0,0.00021555097241353246,0.5,48.88987321601178
圣武星辰,乱世狂刀,玄幻奇幻,,完结,Zongheng,5303707,425761289,68415634,2208,2006,0,Maturity,0,4.711560320573061e-06,0.5,0.0,0.0,0.5,25.147535220543315
大明春色,西风紧,历史,,完结,Zongheng,3122995,10963557,537011,666,1990,0,Maturity,0,0.00018151041842438375,0.5,0.0,0.0,0.5,0.9099032944341858
元尊,天蚕土豆,玄幻奇幻,,完结,Zongheng,3792308,859615899,727911,186,17628,68,Maturity,0,2.0506833342659205e-05,0.5,0.0,9.341788567848861e-05,0.5,28.43773818246902
平天策,无罪,武侠仙侠,,完结,Zongheng,3026812,103751195,12674907,192,1674,0,Maturity,0,1.6134753762260245e-05,0.5,0.0,0.0,0.5,5.618596571495009
踏星,随散飘风,科幻,,完结,Zongheng,17017670,130694577,1348831,338,13277,40,Maturity,0,0.0001015879939564134,0.5,0.0,2.9655286944556474e-05,0.5,6.820974812169594
神级奶爸,单王张,都市,,完结,Zongheng,6756263,14327378,100281,93,1454,0,Maturity,0,0.00010148401881460663,0.5,0.0,0.0,0.2,0.7455974129032434
骑士征程,我爱小豆,玄幻奇幻,,完结,Zongheng,10905704,12255092,189146,769,1707,8,Maturity,0,0.00013928902865119016,0.5,0.0,4.229514610329532e-05,0.5,0.8368998633915714
猎户出山,阳子下,都市,,完结,Zongheng,6322015,2970652,41977,163,330,1,Maturity,0,0.00011108668700114083,0.5,0.0,2.3822002001048168e-05,0.2,0.1816697392413384
点道为止,梦入神机,都市,,完结,Zongheng,3016365,410656593,101075472,121,1942,82,Maturity,0,4.729012095200887e-06,0.5,0.0,8.112749568829621e-07,0.2,30.320579762706352
开个诊所来修仙,李闲鱼,都市,,完结,Zongheng,5803731,76846639,4164293,55,843,0,Maturity,0,1.0969900570799192e-05,0.5,0.0,0.0,0.2,3.128661850926895
狂暴逆袭,罗玛,玄幻奇幻,,连载,Zongheng,8090044,5413528,248187,225,874,0,Maturity,0,0.00016144736640368973,0.5,0.0,0.0,0.5,0.4108391281766449
帝道独尊,一叶青天,玄幻奇幻,,完结,Zongheng,7329541,12143205,88189,140,1000,0,Maturity,0,8.235057529288394e-05,0.5,0.0,0.0,0.5,0.5907860600157964
我不会武功,轻浮你一笑,玄幻奇幻,,完结,Zongheng,6811749,6251431,50624,107,324,41,Maturity,0,5.182812513996793e-05,0.5,0.0,0.0008098765432098766,0.5,0.2689795181659501
长宁帝军,知白,历史,,完结,Zongheng,5323806,260838748,23363296,2388,2486,0,Maturity,0,9.530792528068749e-06,0.5,0.0,0.0,0.5,12.462702413494146
十方乾坤,神出古异,武侠仙侠,,完结,Zongheng,5602605,24553346,78649,370,733,0,Maturity,0,2.9853363779691626e-05,0.5,0.0,0.0,0.5,0.9148916110346939
最强都市修真,俗师,都市,,连载,Zongheng,1324639,6801789,23104,45,40,0,Maturity,0,5.8808049057674525e-06,0.5,0.0,0.0,0.2,0.21234882139057418
人间最得意,平生未知寒,武侠仙侠,,完结,Zongheng,3143926,2862190,21051,102,636,5,Maturity,0,0.00022220739286791133,0.5,0.0,0.0002375071252137564,0.5,0.23210706089973662
