title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
雪中悍刀行,烽火戏诸侯,玄幻奇幻,,完结,Zongheng,4615353,122877655,10739808,59,15230,56
祭炼山河,食堂包子,玄幻奇幻,,完结,Zongheng,6898752,411543996,33736783,68,589,0
星辰之主,减肥专家,科幻,,连载,Zongheng,7896999,16788565,3523637,771,3135,3011
逆天邪神,火星引力,玄幻奇幻,,连载,Zongheng,7866492,339909624,3866724,3444,71218,7320
最强狂兵,烈焰滔滔,都市,,完结,Zongheng,16822970,207730033,2622758,1357,13313,68
踏天争仙,三生万物,玄幻奇幻,,完结,Zongheng,8007941,2525363,149037,72,78,2
天刑纪,曳光,武侠仙侠,,完结,Zongheng,4984428,2085596,187649,84,331,0
黑暗圣光,橙色装备,N次元,,完结,Zongheng,1128920,681552,13611,406,180,0
一世独尊,月如火,玄幻奇幻,,完结,Zongheng,7830380,28780505,243050,216,4467,8
一剑倾国,一介白衣,武侠仙侠,,完结,Zongheng,4822439,696979,43265,65,210,0
天降鬼才,武异,玄幻奇幻,,连载,Zongheng,12504929,1546109,107287,59,319,15
剑来,烽火戏诸侯,武侠仙侠,,连载,Zongheng,13059580,353685411,18733387,16591,158296,4038
圣武星辰,乱世狂刀,玄幻奇幻,,完结,Zongheng,5303707,425761289,68415634,2208,2006,0
大明春色,西风紧,历史,,完结,Zongheng,3122995,10963557,537011,666,1990,0
元尊,天蚕土豆,玄幻奇幻,,完结,Zongheng,3792308,859615899,727911,186,17628,68
平天策,无罪,武侠仙侠,,完结,Zongheng,3026812,103751195,12674907,192,1674,0
踏星,随散飘风,科幻,,完结,Zongheng,17017670,130694577,1348831,338,13277,40
神级奶爸,单王张,都市,,完结,Zongheng,6756263,14327378,100281,93,1454,0
骑士征程,我爱小豆,玄幻奇幻,,完结,Zongheng,10905704,12255092,189146,769,1707,8
猎户出山,阳子下,都市,,完结,Zongheng,6322015,2970652,41977,163,330,1
点道为止,梦入神机,都市,,完结,Zongheng,3016365,410656593,101075472,121,1942,82
开个诊所来修仙,李闲鱼,都市,,完结,Zongheng,5803731,76846639,4164293,55,843,0
狂暴逆袭,罗玛,玄幻奇幻,,连载,Zongheng,8090044,5413528,248187,225,874,0
帝道独尊,一叶青天,玄幻奇幻,,完结,Zongheng,7329541,12143205,88189,140,1000,0
我不会武功,轻浮你一笑,玄幻奇幻,,完结,Zongheng,6811749,6251431,50624,107,324,41
长宁帝军,知白,历史,,完结,Zongheng,5323806,260838748,23363296,2388,2486,0
十方乾坤,神出古异,武侠仙侠,,完结,Zongheng,5602605,24553346,78649,370,733,0
