title,lexical_diversity,dialogue_ratio,avg_sentence_len,sentiment,target_tickets,target_clicks
1977，开局女知青以身相许,0.432,0.394,22.5,0.58,257,215224
Black便利店,0.45,0.379,44.6,0.447,22,300025
BUG神瞳,0.411,0.213,25.8,0.602,85,99600
NBA教父：我有一万种被动光环,0.465,0.272,33.6,0.64,15,43260
一世剑仙,0.628,0.037,40.8,0.83,102,769455
一世如龙,0.543,0.115,33.9,0.712,3990,16707372
一世孤尊,0.459,0.149,23.2,0.701,272,173899
一世独尊,0.541,0.128,27.5,0.694,13387,28780633
一剑倾国,0.675,0.207,25.6,0.588,133,696979
一剑吞鸿,0.548,0.278,45.4,0.747,680,1027923
一剑掌乾坤,0.523,0.319,33.9,0.571,2279,451077
一剑擎天,0.598,0.0,60.9,0.923,212,255899
一剑朝天,0.432,0.264,35.4,0.604,121,1651887
一剑独尊,0.36,0.358,27.1,0.707,21392,423151319
一剑画天,0.676,0.022,69.0,0.834,87,17999
一剑绝世,0.458,0.307,22.6,0.712,5001,5205650
一品,0.502,0.142,25.9,0.618,3900,2594409
一天突破十二境，你跟我退婚？,0.501,0.236,33.6,0.71,42,12577
一幡在手天下我有,0.493,0.15,52.7,0.669,433,83029
一念登天,0.448,0.264,24.9,0.508,804,46423
一笔封仙,0.516,0.279,29.7,0.561,25,305881
一统江湖：他只是一个小虾,0.409,0.354,19.7,0.616,71,90528
一语破天机,0.429,0.311,31.1,0.727,9296,1148056
一身反骨，逆破苍天,0.443,0.35,26.8,0.644,46,24297
七世神盘,0.464,0.171,42.8,0.839,241,174697
七个姐姐听到我心声，心态彻底崩了！,0.436,0.262,20.8,0.703,12,435925
七贱下虎山,0.502,0.091,36.8,0.696,564,28814
万世为王,0.462,0.126,35.2,0.766,95,21263491
万世帝君,0.492,0.247,41.3,0.733,1238,67424
万仙来朝,0.498,0.237,22.8,0.692,14523,8697091
万倍返还，我收徒百无禁忌,0.419,0.225,19.4,0.633,266,828703
万剑朝宗,0.503,0.214,23.9,0.669,2318,389750
万劫之主,0.488,0.218,28.0,0.66,2471,972516
万劫无朽,0.431,0.389,40.1,0.715,2611,230029
万古天骄,0.557,0.184,37.8,0.44,5613,3469820
万古最强龙帝,0.45,0.32,90.2,0.828,33,37721
万古第一武神,0.384,0.344,28.6,0.632,453,474781
万古第一皇,0.492,0.123,45.9,0.596,255,178556
万古英豪,0.53,0.209,31.9,0.685,33,2339
万域之王,0.442,0.321,32.1,0.755,112,261972229
万域剑帝,0.486,0.138,22.6,0.722,42,50526
万妖战歌,0.421,0.303,58.6,0.443,135,236444
万族之劫：我将埋葬诸天,0.441,0.31,18.2,0.603,63,5970
万灵无疆,0.529,0.192,27.5,0.717,32,16448
万界剑尊,0.455,0.225,22.9,0.671,449,476851
万界导游使,0.622,0.111,26.3,0.66,34,23182
万界武祖,0.493,0.295,28.1,0.791,42,9107
万界称尊,0.411,0.219,22.2,0.651,33,12535
万界第一枪,0.429,0.152,31.3,0.7,225,10573
万相之王,0.485,0.169,36.9,0.609,5256,109506438
万苍天穹,0.509,0.197,36.2,0.665,16,26894
万象天劫,0.444,0.209,32.2,0.637,10159,318996
万道之王,0.479,0.165,29.1,0.815,28,3333
万道仙王,0.48,0.166,30.7,0.75,47,268231
万骨妖祖,0.529,0.111,32.0,0.734,74,142478
万魔之上,0.545,0.185,33.3,0.715,50,4974
三国之最风流,0.516,0.131,43.0,0.685,659,10342140
三国庶天子,0.539,0.346,31.0,0.693,303,22432
三国归晋,0.522,0.171,44.0,0.661,162,271190
三国我为王,0.532,0.146,36.3,0.717,16,8600
三国重生之我有反伤刺甲,0.543,0.078,28.1,0.486,50,42026
三界两境录,0.728,0.039,34.4,0.736,320,51600
三界武皇,0.443,0.297,21.8,0.655,465,55766
上古圣墓,0.442,0.003,82.4,0.629,45,8316
下八门,0.443,0.293,32.6,0.462,115,2181847
不会修炼的我成帝了,0.427,0.314,25.6,0.616,29,275799
不是说好解毒么，怎么成仙帝了？,0.54,0.182,23.0,0.627,376,1443638
不朽神途,0.397,0.169,32.1,0.797,165,16686
不死邪神,0.396,0.243,29.6,0.715,60,1490613
不灭神魂,0.457,0.278,20.5,0.57,71,48971
不让江山,0.446,0.304,39.1,0.526,26425,57902694
且听剑吟,0.654,0.078,48.0,0.789,2752,1678491
世界探宝异闻录,0.45,0.234,35.8,0.431,534,32827
东北：老仙驾到,0.516,0.085,33.3,0.564,44,5888
东北修道三十年，世人敬我如敬神,0.476,0.157,30.9,0.44,232,259368
东北地仙,0.534,0.184,34.6,0.475,44,161813
东域游侠传,0.562,0.318,32.4,0.766,2682,575092
丧尸末劫：生存者的征途,0.459,0.066,31.0,0.759,130,23941
临天之主,0.499,0.222,31.4,0.677,26,20599
为了道侣去修仙,0.494,0.159,54.1,0.58,65,15044
义盖云天笑三国,0.392,0.235,37.5,0.595,17,16628
乘龙赘婿,0.476,0.209,32.2,0.506,236,7490448
九世剑仙,0.419,0.164,28.7,0.628,126,208769
九世经轮,0.527,0.136,55.1,0.733,205,78822
九元咒,0.484,0.173,26.4,0.538,47,21106
九劫剑仙,0.46,0.182,41.0,0.789,1662,65537
九劫生晖,0.523,0.168,32.6,0.72,163,8134
九域剑祖,0.463,0.137,37.8,0.599,17,33534
九境之主,0.571,0.358,28.2,0.587,7395,343913
九天元帝,0.497,0.295,46.3,0.612,74,421187
九天剑主,0.651,0.085,45.8,0.316,2568,13974346
九天大漠,0.529,0.023,46.7,0.796,93,63307
九天斩神诀,0.454,0.219,22.5,0.691,196,832035
九幽剑主,0.474,0.297,22.5,0.536,1180,138934
九幽剑帝,0.449,0.282,19.8,0.653,21,10915
九星镇天诀,0.487,0.271,29.1,0.745,10526,3333741
九段刀,0.493,0.306,47.5,0.702,532,782265
