rank,title,author,category,monthly_tickets,ip_score,ip_grade
1,逆天邪神,火星引力,玄幻奇幻,6905,80.64219288369236,A
2,无敌天命,青鸾峰上,玄幻奇幻,23739,79.98620843030521,B
3,最强狂兵Ⅱ：黑暗荣耀,烈焰滔滔,都市,6747,79.4173581113458,B
4,太荒吞天诀,铁马飞桥,玄幻奇幻,6106,79.12497319904733,B
5,星辰大道,随散飘风,玄幻奇幻,5946,78.45152523920733,B
6,齐天,日落红尘,玄幻奇幻,6706,77.09781058522422,B
7,众仙俯首,咸鱼老白,武侠仙侠,4061,76.93336343931236,B
8,万仙来朝,萧瑾瑜,玄幻奇幻,2913,76.8628190304457,B
9,剑来,烽火戏诸侯,武侠仙侠,1872,76.73981079034655,B
10,步步高升：从省考状元到权力巅峰,烟斗老哥,都市,2243,75.42334593315246,B
11,修仙：我在云疆养仙蚕,白浩也,武侠仙侠,4891,75.11540448331866,B
12,星辰之主,减肥专家,科幻,1247,75.07886822136145,B
13,重生09：我为财富之王,团子大,都市,4591,74.84077716997545,B
14,重生1983：从不做接盘侠开始,未定义公式,都市,5803,74.81573921277523,B
15,人间有剑,平生未知寒,玄幻奇幻,2052,74.70111504811908,B
16,圣殊,知白,历史,2176,74.68541285590396,B
17,天黑请点灯,罗樵森,奇闻异事,2138,74.66109268839423,B
18,从军赋,风尘落雨,历史,1748,74.20224944463936,B
19,绝色生骄,沙漠,历史,1693,74.19787855849927,B
20,仙子，求你别再从书里出来了,佛系和尚,都市,2835,73.7609162186921,B
21,封疆悍卒,宿言辰,历史,1810,73.74657482637937,B
22,问鼎：从一等功臣到权力巅峰,晨星天使,都市,1399,73.58440088854748,B
23,逆流年代：从1970开始种田养家,慎思量,都市,1656,73.43589792908207,B
24,这个江湖：真气要交税,三观犹在,武侠仙侠,2220,73.32849543471465,B
25,诡异游戏：开局觉醒Bug级天赋,予作,都市,1620,73.19282228717759,B
26,大魏芳华,西风紧,历史,925,72.87883294474626,B
27,吞噬九重天,屠刀成佛,玄幻奇幻,1136,72.35364808008573,B
28,巅峰青云路,登封造极,都市,1172,72.30391265623588,B
29,全能仙医,步行天下,都市,1112,72.13886754875388,B
30,有帝族背景还开挂，我无敌了！,不太勇敢,玄幻奇幻,1207,72.09960173778124,B
31,灰烬领主,我爱小豆,玄幻奇幻,708,71.86743927171513,B
32,大明：寒门辅臣,寒梅惊雪,历史,907,71.76287872140576,B
33,躺平：老婆修炼我变强,万红壮,玄幻奇幻,1089,71.68999565229693,B
